"Name","Avg_review","Reviews","Category","Address 1","Address 2","Phone"
"Sri Lakshmi Srinivasa Handlooms","5.0","(1)","Clothing store","APSRTC BUS STAND APSRTC, Bus Stand","·","081878 78850"
"Sri Lalitha Handlooms","3.7","(3)","Clothing store","Pathivari street","·","081215 22005"
"Ganesh Handlooms","4.8","(11)","Clothing store","·","Q8V9+2FV",""
"GV Handlooms","4.6","(9)","Manufacturer","back side, Chowdeswari temple, 3, rd line, near Vishal mega Mart","·","097000 37488"
"Mana Handlooms(GSR Handlooms)","4.5","(2)","Dress store","Masid center, Land mark, fish market, Jakkvari street, near perala","",""
"POURNAMI HANDLOOMS","4.8","(4)","Saree Shop","R9J5+M76","·","099667 71605"
"BL Handlooms","5.0","(6)","Saree Shop","R9H4+PMX BL Handlooms, Rajula Line, 12-05-20, Station Road","·","098491 67966"
"Bhargava handlooms","4.7","(3)","Clothing store","Desaipeta vetapalem mandal bapatla","",""
"Kanakadurga Handlooms","4.8","(5)","Clothing store","Polavarapupeta, Backside of Old Vegetable Market","",""
"Sri Padmavathi Handlooms","5.0","(2)","Clothing manufacturer","near Boddurai","",""
"CHUNDURU HANDLOOM STORES","4.8","(4)","Clothing store","Cloth Bazaar","·","0863 222 5240"
"Sai rishith handlooms","5.0","(8)","Saree Shop","","",""
"Meghana Handlooms (Hemanth)","4.5","(6)","Clothing store","·","","099516 88904"
"HINDUSTAN HANDLOOMS","4.9","(9)","Clothing store","MARKAZ STREET, 14-4-1, 3rd Line","·","099496 91202"
"GUJJARI KRISHNAMURTHY HANDLOOMS","5.0","(11)","Saree Shop","Ganesh temple line, jakkavari street, Perala Masjid Rd, beside line","·","092472 05089"
"Padmavati Handlooms","5.0","(2)","Saree Shop","D.no.1-185, near Barath petrole bunk","·","095421 19603"
"Sri Venkata Durga Handlooms","4.1","(10)","Clothing store","Gudanti Puvvada Vari Street, Padmanabunipeta","",""
"Srishiridi Sai handlooms","4.0","(2)","Women's clothing store","Chandramouli colony","",""
"Sri Lakshmi Handlooms","5.0","(2)","Clothing store","9-10-20/8, Cloth Bazar, Kothapet, Kothapet","·","0863 222 2588"
"PANNEM HANDLOOMS","5.0","(2)","Saree Shop","3/124, behind old post office","·","075500 83699"
"AV HANDLOOMS","5.0","(2)","Women's clothing store","Vetapalem Mandal","·","093816 66849"
"Voice of Handlooms","5.0","(2)","Clothing supplier","Pathamarichetu, Saivari street","",""
"Sri Santhoshimatha handlooms","5.0","(2)","Clothing store","Market back side, Near","",""
"Siddhi vinayaka Handlooms","4.3","(4)","Western apparel store","Danthampeta market","·","081216 19098"
"Varalakshmi Handloom And Kalamkari","4.0","(20)","Clothing store","743R+VFW","",""
"NAMRATHA HANDLOOMS and fashions","5.0","(5)","Clothing store","Vaishnavi venu Polimer, Main Rd","·","079816 47452"
"Rishitha Devi Handlooms","5.0","(2)","Saree Shop","opposite Vishal mart, near Hyma Hospital","·","095334 64646"
"PAVANA PUTRA HAND LOOMS","5.0","(1)","Clothing store","Q8WG+QJV","",""
"Jayalaxmi handlooms","5.0","(1)","Saree Shop","2-248/1","",""
"Bhanusri Handlooms","3.0","(4)","Clothing store","15-76-1","",""
