"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","FQ2IWe src","ah5Ghc","eXlrNe","e4rVHe"
"https://www.google.com/maps/place/Gayatri+Emporium+Exclusive+Ladies+Fancy/data=!4m7!3m6!1s0x3a37d2aee48773d5:0xf165fec56cb8d1d!8m2!3d16.543029!4d81.5239888!16s%2Fg%2F11c71cxvrc!19sChIJ1XOH5K7SNzoRHY3LVuxfFg8?authuser=0&hl=en&rclk=1","Gayatri Emporium Exclusive Ladies Fancy","3.5","(10)","Shopping mall","·","Mavullama Temple street","Open","⋅ Closes 8:30 pm","·","099895 66659","https://lh5.googleusercontent.com/p/AF1QipPQrnUV_oKo-XKdC9hazOBZdP6TKZeZkMvkkVI-=w138-h92-k-no","""Same product you'll get for  less price in other shops""","",""
"https://www.google.com/maps/place/Samrajyam+Womens+Emporium/data=!4m7!3m6!1s0x3a35fb30e0e0379f:0x31d36500e11e892b!8m2!3d16.4937544!4d80.6463241!16s%2Fg%2F11sbsgkbc9!19sChIJnzfg4DD7NToRK4ke4QBl0zE?authuser=0&hl=en&rclk=1","Samrajyam Womens Emporium","5.0","(2)","Women's clothing store","·","Shop Number 1, Kalanagar, 1st Ln","Open","⋅ Closes 9:30 pm","·","099636 53535","https://lh5.googleusercontent.com/p/AF1QipNq3z_r0tckfOr6GyWIvC0v3e7opXv9H6YAdhBJ=w80-h142-k-no","Delivery","",""
"https://www.google.com/maps/place/BABU+EMPORIUM/data=!4m7!3m6!1s0x3a37b7f90a4a7841:0x8b29d1ae22b17cae!8m2!3d16.7531561!4d81.6872882!16s%2Fg%2F12mkw90zc!19sChIJQXhKCvm3NzoRrnyxIq7RKYs?authuser=0&hl=en&rclk=1","BABU EMPORIUM","3.9","(541)","Shopping mall","·","·","Closed","⋅ Opens 9:30 am Wed","QM3P+7VV","097045 22225","https://lh5.googleusercontent.com/p/AF1QipMSJe7gX2yz8vPz3TkbvsIYeSr5SC5aLon-hHLK=w80-h106-k-no","""One of the oldest fancy stores which impacted all 90's","",""
"https://www.google.com/maps/place/RAJA+FANCY+%26+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3bb3720d330ad3fb:0xa57481369388de94!8m2!3d14.4617232!4d78.8287782!16s%2Fg%2F11tmr_tl1k!19sChIJ-9MKMw1yszsRlN6IkzaBdKU?authuser=0&hl=en&rclk=1","RAJA FANCY & LADIES EMPORIUM","5.0","(2)","General store","·","Rajiv Park Rd","Open","⋅ Closes 10 pm","·","096768 38332","https://lh5.googleusercontent.com/p/AF1QipO3HSfr8GZkOuff5KK3lWv1_HFsA8GUSEEhOiIY=w163-h92-k-no","""Good products fancy And gifts🎁""","",""
"https://www.google.com/maps/place/Sri+Siva+Saravana+Ladies+Emporium/data=!4m7!3m6!1s0x3a4a754e9f21a759:0xbd62a6030b6dbc44!8m2!3d16.302066!4d80.449069!16s%2Fg%2F11c46nn3c2!19sChIJWachn051SjoRRLxtCwOmYr0?authuser=0&hl=en&rclk=1","Sri Siva Saravana Ladies Emporium","5.0","(1)","Stationery store","·","Door No.12-1-26, Beside Kanumuri Hospital, Shanakhayala Factory Road, Kothapet","Open","⋅ Closes 10:30 pm","·","093964 04962","https://lh5.googleusercontent.com/-aiDTq6jPac1K-Qf9vUr2u-OmCorWFBnP0PoechszehNk787ORo6kJhBn2njOyvc-g=w163-h92-k-no","","",""
"https://www.google.com/maps/place/Lepakshi+Handicrafts+Emporium/data=!4m7!3m6!1s0x3bb2b563b7c1f495:0x61403af2f32c7469!8m2!3d13.6804832!4d79.3505154!16s%2Fg%2F1tk1lfkb!19sChIJlfTBt2O1sjsRaXQs8_I6QGE?authuser=0&hl=en&rclk=1","Lepakshi Handicrafts Emporium","4.2","(1,978)","Handicraft","·","M9J2+67G, Sankumitta Road, Lepakshi Cir Underpass, near Lepakshi Circle","Open","⋅ Closes 9 pm","","","https://lh5.googleusercontent.com/p/AF1QipOCtgxZXi8UGaWTRKr-qNAtkI8uWE_bL-9FuVcO=w122-h92-k-no","""The collection are so unique and reasonably priced.""","",""
"https://www.google.com/maps/place/Rekha%27s+Ladies+Emporium+%26+Gifts/data=!4m7!3m6!1s0x3a4c8bcf4c050b11:0x41781e072175342d!8m2!3d14.4678275!4d80.030163!16s%2Fg%2F11sf6j3pf6!19sChIJEQsFTM-LTDoRLTR1IQceeEE?authuser=0&hl=en&rclk=1","Rekha's Ladies Emporium & Gifts","5.0","(5)","Gift shop","·","F29J+43M, Ashok Nagar Main Road, Mypadu Rd, near Bharath Petroleum","Open","⋅ Closes 9:30 pm","·","096400 75316","https://lh5.googleusercontent.com/p/AF1QipN2-75q5M5jnpPdXvAdrhsERa8zQbPA5XZuP0k=w189-h92-k-no","In-store shopping","",""
"https://www.google.com/maps/place/Tarini+Emporium/data=!4m7!3m6!1s0x3a3631bc56bfb787:0x3f1aad63feddbdab!8m2!3d16.5813908!4d81.3745662!16s%2Fg%2F11y6b0xb6c!19sChIJh7e_VrwxNjoRq73d_mOtGj8?authuser=0&hl=en&rclk=1","Tarini Emporium","5.0","(8)","Women's clothing store","·","beside PottiSreeramulu Statue","Open","⋅ Closes 9:30 pm","","","https://lh5.googleusercontent.com/p/AF1QipNL5H-t7npR1szFn4qzLYZpcMPp0ihkdlQIQCwS=w224-h92-k-no","Delivery","",""
"https://www.google.com/maps/place/Visalakshi+Ladies+Emporium/data=!4m7!3m6!1s0x3a35e4ce1f2a644d:0x3775d17370000000!8m2!3d16.5222935!4d80.6886091!16s%2Fg%2F11p6spvqrc!19sChIJTWQqH87kNToRAAAAcHPRdTc?authuser=0&hl=en&rclk=1","Visalakshi Ladies Emporium","4.5","(2)","Cosmetics store","·","GMCQ+WC9, Temple Road, near Sai Baba","","","","096762 81851","https://lh5.googleusercontent.com/p/AF1QipOf6D8WQOI0mO55MlIBJI9IUxBI7EV711pFqy4=w163-h92-k-no","""Very quality products""","",""
"https://www.google.com/maps/place/Bharani+Ladies+Emporium/data=!4m7!3m6!1s0x3a35e5574d2fd2d3:0xea479796b288377!8m2!3d16.5256191!4d80.6387482!16s%2Fg%2F11c1w0ccfv!19sChIJ09IvTVflNToRd4Moa3l5pA4?authuser=0&hl=en&rclk=1","Bharani Ladies Emporium","3.3","(6)","Clothing alteration service","·","Bhagat Singh Rd","Open","⋅ Closes 10:30 pm","·","090632 61580","https://lh5.googleusercontent.com/p/AF1QipPKIbDnwr940y4JgbHRw42boxPENl8T-K9h4tUQ=w80-h142-k-no","","",""
