"hlink","Name","Review","Count","Category","open_close","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","Phone","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2"
"https://www.google.com/maps/place/SRIKARA+POOJA+STORES/data=!4m7!3m6!1s0x3bcb99ec8597eff1:0x373fffd13d1c2d9f!8m2!3d17.3688638!4d78.5253787!16s%2Fg%2F11h_smjd6n!19sChIJ8e-XheyZyzsRny0cPdH_Pzc?authuser=0&hl=en&rclk=1","SRIKARA POOJA STORES","5.0","(2)","Religious goods store","·","","at Pillar no. 1534, Left lane, Shop no.1, near Sri Kanaka Durga Maatha Temple","·","Open","⋅ Closes 7:30 pm","099668 86070","https://lh5.googleusercontent.com/p/AF1QipM2ptA3zlhF5NWubjfWSje3UKmUiXQZg4NO981b=w163-h92-k-no","In-store shopping","·","Delivery"
"https://www.google.com/maps/place/Shabari+Pooja+Stores+%26+Kerala+Store/data=!4m7!3m6!1s0x3bcb9a18b057e873:0x892736646c4d762!8m2!3d17.4351189!4d78.4970375!16s%2Fg%2F11bz0s8p0w!19sChIJc-hXsBiayzsRYtfERmZzkgg?authuser=0&hl=en&rclk=1","Shabari Pooja Stores & Kerala Store","4.3","(45)","Religious goods store","·","","17-1-604, Station Road","·","Open","⋅ Closes 9:30 pm","099492 75852","https://lh5.googleusercontent.com/p/AF1QipPIMg2icFtrUC6x4CyszipIp9NRVoogXl-6QTHO=w80-h106-k-no","Delivery","",""
"https://www.google.com/maps/place/Sri+Vijaya+Pooja+Samagri+Stores/data=!4m7!3m6!1s0x3bcb91f9d0e81883:0xed2ee25e2164073b!8m2!3d17.5044275!4d78.3877361!16s%2Fg%2F1tmphzdd!19sChIJgxjo0PmRyzsROwdkIV7iLu0?authuser=0&hl=en&rclk=1","Sri Vijaya Pooja Samagri Stores","3.8","(154)","Religious goods store","·","","·","Nizampet Rd","Open","⋅ Closes 9:30 pm","","https://lh5.googleusercontent.com/p/AF1QipMu0msAiwp2XAKs9ha2CXAhMnvkCLeQ6NGV3051=w80-h142-k-no","Delivery","",""
"https://www.google.com/maps/place/Sai+Pooja+Samagri+Store/data=!4m7!3m6!1s0x3bcb9171943fe2bd:0x5a8cabf65e0f9543!8m2!3d17.4596796!4d78.4002352!16s%2Fg%2F1pp2x5744!19sChIJveI_lHGRyzsRQ5UPXvarjFo?authuser=0&hl=en&rclk=1","Sai Pooja Samagri Store","3.8","(78)","Religious goods store","·","","·","Plot No: 264, near Leaf Hospital","Open","⋅ Closes 10 pm","098482 32259","https://lh3.googleusercontent.com/gps-proxy/ALd4DhGyN-t4cj1eg1zoyNDJvrJQtyJQubPacE5ZvMhnyDlvQiS0azskyiwN64F6ey_pKSZSYBqk5R-H9DKzcnZswgd21mtXZYb2fdHJw0VY-mhVjXeKvUo8bWqlMUDP3KmtPa_-4geHoJvH1I9UGe8xF1VEEeQzrK4OQWi7b_0f6HTImdwqdoQA6Kl96txnx_-yptai12I=w122-h92-k-no","In-store pick-up","·","Delivery"
"https://www.google.com/maps/place/SRI+SAI+MANJUNATHA+POOJA+STORES/data=!4m7!3m6!1s0x3bcba3453c3703a7:0x5167e125636635d4!8m2!3d17.3244691!4d78.5535638!16s%2Fg%2F11shk9vnjh!19sChIJpwM3PEWjyzsR1DVmYyXhZ1E?authuser=0&hl=en&rclk=1","SRI SAI MANJUNATHA POOJA STORES","4.6","(42)","Store","·","","·","ZP Rd, opp. MedPlus","Open","⋅ Closes 9:30 pm","","https://lh5.googleusercontent.com/p/AF1QipNWNVc8-68ZZp5Cg2-Tg0dsRqb0L5o1ET4GC2mY=w204-h92-k-no","In-store shopping","·","Kerbside pickup"
"https://www.google.com/maps/place/Balaji+poojan+samagri/data=!4m7!3m6!1s0x3bcb97eb52fc0a09:0x86ad7a2e8883139b!8m2!3d17.3617926!4d78.4354686!16s%2Fg%2F11r3m5mpbz!19sChIJCQr8UuuXyzsRmxODiC56rYY?authuser=0&hl=en&rclk=1","Balaji poojan samagri","4.9","(27)","Religious goods store","·","","Hanuman mandir, Bharathi complex, beside HDFC bank ATM","·","Open","⋅ Closes 10 pm","096664 00367","https://lh5.googleusercontent.com/p/AF1QipNLtW95Cwmy_SizA1WrMIV-7PrGy7bYL3DHAnCg=w80-h142-k-no","""Good quality and reasonable price","","pooja"
"https://www.google.com/maps/place/Panditji+Pooja+Store/data=!4m7!3m6!1s0x3bcb9725f5ab2493:0xe02ab1691480eb6!8m2!3d17.3765218!4d78.4663068!16s%2Fg%2F11r3hhttyp!19sChIJkySr9SWXyzsRtg5IkRarAg4?authuser=0&hl=en&rclk=1","Panditji Pooja Store","4.7","(66)","Religious goods store","·","","H.no 14-4-239/5 Shah Inayath Gunj, Goshamahal","·","Open","⋅ Closes 10 pm","083281 34870","https://lh5.googleusercontent.com/p/AF1QipOQMS3u7X1bGNgcUHGwf7hnFamjytsVT8phkh6W=w204-h92-k-no","In-store pick-up","·","Delivery"
"https://www.google.com/maps/place/sri+sai+durga+pooja+samagri+wholesale+and+retail/data=!4m7!3m6!1s0x3bcb9199fedfa277:0x512c39142f487046!8m2!3d17.4677261!4d78.3979364!16s%2Fg%2F11tnlygmyz!19sChIJd6Lf_pmRyzsRRnBILxQ5LFE?authuser=0&hl=en&rclk=1","sri sai durga pooja samagri wholesale and retail","4.9","(46)","Religious goods store","·","","LIG-89, Green Hills Rd","·","Open","⋅ Closes 9 pm","094408 91550","https://lh5.googleusercontent.com/p/AF1QipP08xoMp7duI-Fe94CO-fy7SXOzBSuHdu0Z_AiM=w122-h92-k-no","Delivery","",""
"https://www.google.com/maps/place/Sri+Vijaya+Pooja+Samagri/data=!4m7!3m6!1s0x3bcb90c8e47adaed:0x83b2a0e4cdc84ff6!8m2!3d17.4349244!4d78.4486378!16s%2Fg%2F11b7xfh9c3!19sChIJ7dp65MiQyzsR9k_IzeSgsoM?authuser=0&hl=en&rclk=1","Sri Vijaya Pooja Samagri","3.9","(95)","Religious goods store","·","","·","House No. 7, 1-98/1, beside Sheesh Mahal Theatre Road, opposite Punjabh Sindhu Bank","Open","⋅ Closes 10 pm","091212 89090","https://lh5.googleusercontent.com/p/AF1QipOrSRkk3zKjDNtTgHxkjsnPdcOxiKUiAtTsEV23=w163-h92-k-no","Delivery","",""
"https://www.google.com/maps/place/Sri+Vijaya+Pooja+Samagri/data=!4m7!3m6!1s0x3bcb9418e2364975:0xdb7348b4c7f2f304!8m2!3d17.4007706!4d78.3788736!16s%2Fg%2F11btwk25_g!19sChIJdUk24hiUyzsRBPPyx7RIc9s?authuser=0&hl=en&rclk=1","Sri Vijaya Pooja Samagri","3.7","(250)","Religious goods store","·","","·","Venkateswara Temple, Plot No. 334, Shaikpet Main Rd, Near Swamy Village","Open","⋅ Closes 9:30 pm","084134 02224","https://lh5.googleusercontent.com/p/AF1QipMII8wnERztmfmkW9hfUKsmg3PwbREVg7Af_OYk=w80-h106-k-no","""Most of the pooja items are available here at reasonable price.""","",""
