index,Name,Category,Phone,Avg_review,Reviews,Maps_url
79,Mangalya Shopping Mall,Shopping mall,,3.8,769,https://www.google.com/maps/place/Mangalya+Shopping+Mall/data=!4m7!3m6!1s0x3bb373402ee615eb:0x18be6d3e9c2b11ef!8m2!3d14.4644359!4d78.8321849!16s%2Fg%2F11h6gpwc7h!19sChIJ6xXmLkBzszsR7xErnD5tvhg?authuser=0&hl=en&rclk=1
80,Dreams Shopping Mall,Shopping mall,,3.5,72,https://www.google.com/maps/place/Dreams+Shopping+Mall/data=!4m7!3m6!1s0x3a354d99d11ea137:0xc2cd20704613cbf8!8m2!3d16.4751875!4d79.4362911!16s%2Fg%2F11gf97n17j!19sChIJN6Ee0ZlNNToRMsTRnAgzcI?authuser=0&hl=en&rclk=1
81,Sri Satya Shopping Mall,Shopping mall,,3.7,26,https://www.google.com/maps/place/Sri+Satya+Shopping+Mall/data=!4m7!3m6!1s0x3a37a3ec7a4077ed:0xd68d31e23d553aa2!8m2!3d17.0100479!4d81.794678!16s%2Fg%2F11ckpyn28t!19sChIJ7XdAeuyjNzoRojpVPeIxjdY?authuser=0&hl=en&rclk=1
82,Jagadeesh Shopping Mall,Shopping mall,094402 90344,4.0,219,https://www.google.com/maps/place/Jagadeesh+Shopping+Mall/data=!4m7!3m6!1s0x3bb5ddeb7f383de7:0xf47d9b01cb7549d9!8m2!3d15.8066444!4d78.0392594!16s%2Fg%2F11clycch4v!19sChIJ5z04fvdtTsR2Ul1ywGbffQ?authuser=0&hl=en&rclk=1
83,Y 5 mall Guntur,Shopping mall,,4.4,71,https://www.google.com/maps/place/Y+5+mall+Guntur/data=!4m7!3m6!1s0x3a4a7540acfac0cd:0x76babd9fbf208f94!8m2!3d16.3138861!4d80.4192663!16s%2Fg%2F11rd9_syzm!19sChIJzcD6rEB1SjoRlI8gv59unY?authuser=0&hl=en&rclk=1
84,The Chennai Shopping Mall  Guntur,Shopping mall,040 2233 3333,3.9,"3,405",https://www.google.com/maps/place/The+Chennai+Shopping+Mall++Guntur/data=!4m7!3m6!1s0x3a4a755c9523cf47:0x49967195d9996209!8m2!3d16.3073356!4d80.4368419!16s%2Fg%2F11f2lphc07!19sChIJR88jlVx1SjoRCWKZ2ZVxlkk?authuser=0&hl=en&rclk=1
85,Dress Circle Shopping Mall Kurnool,Shopping mall,088869 89992,4.6,"5,078",https://www.google.com/maps/place/Dress+Circle+Shopping+Mall+Kurnool/data=!4m7!3m6!1s0x3bb5e75e7e8acbdf:0xdfb6c5c0e127d28f!8m2!3d15.8302411!4d78.0397506!16s%2Fg%2F124yjglmk!19sChIJ38uKfl7ntTsRj9In4cDFtt8?authuser=0&hl=en&rclk=1
86,TJ Shopping Mall,Shopping mall,097311 05990,3.9,"2,908",https://www.google.com/maps/place/TJ+Shopping+Mall/data=!4m7!3m6!1s0x3bb5e75da54664a5:0xaf3725312135118b!8m2!3d15.8333333!4d78.0402778!16s%2Fg%2F124ycxz5g!19sChIJpWRGpV3ntTsRixE1ITElN68?authuser=0&hl=en&rclk=1
87,Sree Veerabhadra swamy Shopping Mall,Shopping mall,079979 01111,3.8,551,https://www.google.com/maps/place/Sree+Veerabhadra+swamy+Shopping+Mall/data=!4m7!3m6!1s0x3bb5ad56e5328e77:0xa7d8a9f3886b3df9!8m2!3d15.4876294!4d78.478775!16s%2Fg%2F11fzf88ly2!19sChIJd44y5VattTsRT1riPOp2Kc?authuser=0&hl=en&rclk=1
88,Garuda Mall,Shopping mall,,4.3,52,https://www.google.com/maps/place/Garuda+Mall/data=!4m7!3m6!1s0x3a4d4b162164d217:0xad1d8d3c93f5b5db!8m2!3d13.6453776!4d79.4382313!16s%2Fg%2F11m9sw57wm!19sChIJF9JkIRZLTToR27X1kzyNHa0?authuser=0&hl=en&rclk=1
89,K.R.R Shopping Mall,Shopping mall,094930 43438,3.8,166,https://www.google.com/maps/place/K.R.R+Shopping+Mall/data=!4m7!3m6!1s0x3a36133f4388a3c1:0xb35911e05b16bc2a!8m2!3d16.699397!4d81.0524172!16s%2Fg%2F1q5gn9zgw!19sChIJwaOIQz8TNjoRKrwWWARWbM?authuser=0&hl=en&rclk=1
90,South India Shopping MallNellore,Shopping mall,077999 65656,3.9,"2,302",https://www.google.com/maps/place/South+India+Shopping+MallNellore/data=!4m7!3m6!1s0x3a4c8ccd2fffffff:0xd455cbe10b14ede9!8m2!3d14.4453302!4d79.9794899!16s%2Fg%2F11gdtqc70x!19sChIJ____L82MTDoR6e0UCHLVdQ?authuser=0&hl=en&rclk=1
91,VSN mall,Shopping mall,,3.9,51,https://www.google.com/maps/place/VSN+mall/data=!4m7!3m6!1s0x3a35fbae6e46498b:0x5c54633b50548fa4!8m2!3d16.5013013!4d80.656414!16s%2Fg%2F11sfft1kk7!19sChIJi0lGbq77NToRpI9UUDtjVFw?authuser=0&hl=en&rclk=1
92,Municipal Shopping Mall,Shopping mall,,3.6,197,https://www.google.com/maps/place/Municipal+Shopping+Mall/data=!4m7!3m6!1s0x3bb14adb38156949:0xc3603387ba041582!8m2!3d14.6812288!4d77.597126!16s%2Fg%2F11b6rfjql2!19sChIJSWkVONtKsTsRghUEuoczYMM?authuser=0&hl=en&rclk=1
93,Skanda shopping mall,Shopping mall,092469 22665,4.0,"1,123",https://www.google.com/maps/place/Skanda+shopping+mall/data=!4m7!3m6!1s0x3bb5e7614a1a48e3:0x88a4e7a515e469ed!8m2!3d15.8313054!4d78.0473287!16s%2Fg%2F1q660h36_!19sChIJ40gaSmHntTsR7WnkFaXnpIg?authuser=0&hl=en&rclk=1
94,KSP Prime,Shopping mall,,4.1,"4,616",https://www.google.com/maps/place/KSP+Prime/data=!4m7!3m6!1s0x3a4a7549baf156ad:0xca616fe801118bda!8m2!3d16.2968283!4d80.4475356!16s%2Fg%2F11ggvslyy5!19sChIJrVbxukl1SjoR2osRAehvYco?authuser=0&hl=en&rclk=1
95,"Subhamastu Shopping Mall, Nellore",Shopping mall,0861 235 9597,3.9,"3,829","https://www.google.com/maps/place/Subhamastu+Shopping+Mall,+Nellore/data=!4m7!3m6!1s0x3a4c8ccb9fbfd3f3:0x4ee5608acbd7ab08!8m2!3d14.447651!4d79.9819249!16s%2Fg%2F11clsgh8ty!19sChIJ89O_n8uMTDoRCKvXy4pg5U4?authuser=0&hl=en&rclk=1"
96,Zero Max The Family Shopping Mall,Shopping mall,089194 98576,4.4,104,https://www.google.com/maps/place/Zero+Max+The+Family+Shopping+Mall/data=!4m7!3m6!1s0x3bb5e75dd404016b:0x4be9825cdae84e4b!8m2!3d15.8313352!4d78.0397834!16s%2Fg%2F11gf8d_qyr!19sChIJawEE1F3ntTsRS07o2lyC6Us?authuser=0&hl=en&rclk=1
