Name,Category,Address,Phone,Avg_review,Reviews,Maps_url
Meghana Ladies Emporium & Tailoring,Clothing store,C8HQ+MV8,,,,https://www.google.com/maps/place/Meghana+Ladies+Emporium+%26+Tailoring/data=!4m7!3m6!1s0x3a36270069e125d9:0x356849dfa378aafc!8m2!3d16.4291509!4d81.339707!16s%2Fg%2F11m5xzmtx5!19sChIJ2SXhaQAnNjoR_Kp4o99JaDU?authuser=0&hl=en&rclk=1
Karthik ladies emporium. Dress . Sarees,Women's clothing store,WMF5+2GP,,5,1,https://www.google.com/maps/place/Karthik+ladies+emporium.+Dress+.+Sarees/data=!4m7!3m6!1s0x3bb6bb001da8891d:0xd739e7f77bdb5987!8m2!3d14.9225763!4d77.6588422!16s%2Fg%2F11w54kw11t!19sChIJHYmoHQC7tjsRh1nbe_fnOdc?authuser=0&hl=en&rclk=1
Akash Ladies emporium,Women's clothing store,7JCG+9FP,,5,1,https://www.google.com/maps/place/Akash+Ladies+emporium/data=!4m7!3m6!1s0x3bb16be7e4757259:0x28831f6a60c128b4!8m2!3d14.2709512!4d77.6262044!16s%2Fg%2F11ty0sjxtn!19sChIJWXJ15OdrsTsRtCjBYGofgyg?authuser=0&hl=en&rclk=1
Krishna Emporium Landmark,Novelty store,"X62M+7CQ, Ganjam Vari St, near Big Masjid Centre",0884 238 4377,3.9,383,https://www.google.com/maps/place/Krishna+Emporium+Landmark/data=!4m7!3m6!1s0x3a3827e1ac0bcaf3:0xc3e731b8c281b5c5!8m2!3d16.9507104!4d82.2336584!16s%2Fg%2F1tm8h_d7!19sChIJ88oLrOEnODoRxbWBwrgx58M?authuser=0&hl=en&rclk=1
Blessi ladies emporium and saree center,Women's clothing store,"Rudraram, near Rudraram union bank",,,,https://www.google.com/maps/place/Blessi+ladies+emporium+and+saree+center/data=!4m7!3m6!1s0x3a3789aa6283310d:0xee2f83d216dd2f18!8m2!3d16.8799947!4d82.1461492!16s%2Fg%2F11wjny11fx!19sChIJDTGDYqqJNzoRGC_dFtKDL-4?authuser=0&hl=en&rclk=1
Srinivasa cut pieses & Emporium ladies and gents cloths,Saree Shop,"35Q9+H3W, Main Rd Sharabbazar",,5,1,https://www.google.com/maps/place/Srinivasa+cut+pieses+%26+Emporium+ladies+and+gents+cloths/data=!4m7!3m6!1s0x3a4a63006db37e13:0x85f233c0dea65c40!8m2!3d16.0889803!4d80.1676876!16s%2Fg%2F11vxxz3ggv!19sChIJE36zbQBjSjoRQFym3sAz8oU?authuser=0&hl=en&rclk=1
Damodar Silk Emporium - Naveen Silk House,Saree Shop,"9-104-1, Varalakshmi Theatre Rd",090302 87257,5,10,https://www.google.com/maps/place/Damodar+Silk+Emporium+-+Naveen+Silk+House/data=!4m7!3m6!1s0x3bb143bb8952f537:0x2737eccf9b237e!8m2!3d14.4177541!4d77.7239759!16s%2Fg%2F11s0xw7nqm!19sChIJN_VSibtDsTsRfiObz-w3JwA?authuser=0&hl=en&rclk=1
Kanika Ladies & Fancy store,Novelty store,"Door No. 10-3-34, Old Police Station Street, Beside Indian Gas",093931 04997,4.9,7,https://www.google.com/maps/place/Kanika+Ladies+%26+Fancy+store/data=!4m7!3m6!1s0x3a3969a8da732cdd:0x57c9e31f062766ce!8m2!3d17.684743!4d83.212276!16s%2Fg%2F1q628ps95!19sChIJ3Sxz2qhpOToRzmYnBh_jyVc?authuser=0&hl=en&rclk=1
Sujana Ladies Tailors & Emporium,Tailor,"# 9-1-13, G.M STREET, GANDHI ROAD Backside - Apurva Textiles, T.K Street & Chandana Brothers & M.G.R Shopping Mall",,4.9,28,https://www.google.com/maps/place/Sujana+Ladies+Tailors+%26+Emporium/data=!4m7!3m6!1s0x3a4d4b427c14b01f:0xfe54d8bed3ef80f7!8m2!3d13.6314395!4d79.4178096!16s%2Fg%2F11ll9_q5y5!19sChIJH7AUfEJLTToR94Dv077YVP4?authuser=0&hl=en&rclk=1
Vijetha Ladies Emporium,Women's clothing store,"Upper State Bank of India, Podili Rd",,5,6,https://www.google.com/maps/place/Vijetha+Ladies+Emporium/data=!4m7!3m6!1s0x3a4ac39f3b7a0d4b:0x7c63744317894932!8m2!3d15.7691238!4d79.6788911!16s%2Fg%2F11q95k0g2s!19sChIJSw16O5_DSjoRMkmJF0N0Y3w?authuser=0&hl=en&rclk=1
VANALAKSHMI ENTERPRISES,Beauty supply store,"#26-5-19, BOWDARA ROAD, PRASAD GARDENS NEAR RAMA KRISHNA THEATRE JN POORNA MARKET ROAD, opp. MASJID LANE",090526 28899,4.5,136,https://www.google.com/maps/place/VANALAKSHMI+ENTERPRISES/data=!4m7!3m6!1s0x3a3943f47a14dba3:0xb8a356fc1d7a34a2!8m2!3d17.7089361!4d83.2949673!16s%2Fg%2F11h0ys47mf!19sChIJo9sUevRDOToRojR6HfxWo7g?authuser=0&hl=en&rclk=1
SKML FANCY AND GENERAL,Women's clothing store,"P8H5+QPV, Seethammapeta Seethammapeta",063058 36262,5,1,https://www.google.com/maps/place/SKML+FANCY+AND+GENERAL/data=!4m7!3m6!1s0x3a3943ab3694b547:0xc19951c4779c9009!8m2!3d17.7294822!4d83.3092997!16s%2Fg%2F11rmwbt559!19sChIJR7WUNqtDOToRCZCcd8RRmcE?authuser=0&hl=en&rclk=1
Sai Ladies Emporium,Cosmetics store,"Plot no 546, shop no 4, mainroad, beside DTDC courier, opp. jntu",098483 84072,4.3,21,https://www.google.com/maps/place/Sai+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb8e1d4bf0e4af:0x28af1eefa5ca83c7!8m2!3d17.5168186!4d78.396106!16s%2Fg%2F1pp2vh2_j!19sChIJr-TwSx2OyzsRx4PKpe8eryg?authuser=0&hl=en&rclk=1
Vasavi Fancy & Gift Emporium,Cosmetics store,·,081435 70123,4,51,https://www.google.com/maps/place/Vasavi+Fancy+%26+Gift+Emporium/data=!4m7!3m6!1s0x3a4a7533fe07b04b:0xb279ffd2538b948b!8m2!3d16.2883344!4d80.449376!16s%2Fg%2F11cn0t096l!19sChIJS7AH_jN1SjoRi5SLU9L_ebI?authuser=0&hl=en&rclk=1
