index,Name,Address,Category,Phone,Avg_review,Reviews
110,PRAKRITI Residence Inn(Lodge),9PQP+GH,Lodge,094404 33232,3.7,154
111,The Raj Kamal Lodge,"Municipal, High School Rd",Lodge,085942 32590,3.7,49
112,Swati lodge,Hotel Mourya,Lodge,,3.4,24
113,Sri Sai Sagar Lodge A/C,"Front of RTC Depot, Kurnool Road, Sixty Feet Rd",Lodge,099499 79872,3.7,41
114,Savera lodge macherla,"second right, Rama Talkies Rd",Lodge,,3.5,50
115,Hotel Manasa Lodge,"Door 5, 32, Kurnool Rd",3-star hotel,085922 83182,3.3,66
116,Hotel O Vishnu Lodge,"22A-1-1, 22A-1-1/1, 1, GNT Rd, near BSNL Office",Hotel,0124 620 1530,3.7,436
117,"Lemon Tree Premier,Vijayawada","MG Rd, opp. Sub-Collector Office Road",Lodge,0866 691 9999,4.4,"3,496"
118,Hotel Shivapriya Lodge,"17/144, Yadlavari St",2-star hotel,,3.8,220
119,Best Lodge,"AG College Rd, opposite vijaya digital",Hotel,096425 85768,3.7,21
