,Name,Address,Category,Phone,Review,Count
90,Daakshayani pooja store,Golden Temple Rd ·,General store,099899 25567,4.3,(16)
91,Siri Pooja Stores,"22, First Floor, New Vegetable Market ·",Religious goods store,098661 34353,4.2,(15)
92,Pooja Store,"11-1-169, Namalagundu Rd ·",Religious goods store,090001 88456,4.0,(4)
93,Anjana Coconut & Pooja Stores,"10-1-324, Dargah Rd ·",Religious goods store,096760 07365,4.3,(18)
94,arun pooja items shop,"shop no 1 jiyavuda 2j bus stop, near, Sabzi Mandi Rd nan",Store,093904 52448,5.0,(1)
95,Bhagirathi Pooja Store,"15-7-617, 15-7-308 ·",Religious goods store,099490 64207,4.0,(2)
96,Sahasra pooja stores,· nan,Store,090005 30782,5.0,(3)
97,MeherDurga Pooja Store wholesale,"FG4W+V3W, opp. lane to Gajanana function hall ·",Home goods store,099630 41274,5.0,(3)
98,Sai hanuman pooja store,"Shop no.12-59/1, Road no.3, I, t. colony, sri ramakrushnapuram, Kothapet,, Hydera ·",General store,090309 29229,4.4,(8)
99,Shyamala Pooja Stores,Andhra bank ·,Home goods store,099517 43353,5.0,(1)
100,Om Sri Manikhanta Pooja Samaghri,"# 30, G.K. Nagar, Sainathpuram, A.S. ·",Religious goods store,099893 02693,3.5,(14)
101,Sai Balaji Pooja Samagri,"15-6-229/1/F, D R Complex & Mama Complex, Begum Bazaar, Begum Bazaar 500012 ·",Store,040 2474 1829,4.6,(20)
102,Sri Tulji Bhavani Pooja store,"FG74+6FC, Plot Lbr House, Main, Road No. 6 ·",Religious goods store,099635 54649,3.7,(7)
103,Sri lakshmi narsimha swamy pooja stores,Gachibowli - Miyapur Rd ·,Religious goods store,070360 87782,4.4,(9)
104,Sree Krishna Pooja Stores,"H.No. # 29, 34, Neredmet X Rd ·",Religious goods store,098660 83080,4.0,(2)
