index,Name,Address,Category,Phone,Avg_review,Reviews
84,Kalyan Pooja Gruha (Store),"4-5-527, Opposite Police Station Sultan Bazar",Religious goods store,090305 79397,4.7,(6)
85,Hari Om Pooja Samagri,Manjeera Rd,Religious goods store,099497 58168,4.3,(38)
86,Sree Advaita Pooja Stores,"Plot No 103, Sharadha Mandapam, Opp, Golden Temple Rd",Religious goods store,,4.0,(21)
87,Sri Padmalaya Pooja Stores,1-93/3/12/1,Religious goods store,079951 99984,4.4,(25)
88,Venkateswara Pooja Store,"2-2-38/1, near Sampoorna Supermarket",Religious goods store,,4.4,(7)
89,Gokul Pooja Stores,·,Religious goods store,098668 41517,3.8,(14)
90,Sri kamakshi Pooja Samagri Stores,·,Religious goods store,092461 16722,3.7,(42)
91,Laxmi Narayana Pooja Store,·,Religious goods store,092463 48733,4.5,(12)
92,OM POOJA SAMAGRI STORE,"Arul colony,plot no-41,Hi Tension Road, A.S Rao Nagar,Kapra",General store,089784 73320,4.0,(22)
93,Trinetra Pooja Samagri,·,Religious goods store,090002 82325,3.9,(36)
94,Sri Mahalaxmi Puja Store,SRL Colony Main Rd,Supermarket,090307 12090,4.5,(31)
95,G V R MANU'S POOJA STORE,"Datta Sai nagar colony, Plot no .63, Bollaram Rd, opp. narenn Garden",Religious goods store,,3.8,(15)
96,Siri Pooja Stores,"22, First Floor, New Vegetable Market",Religious goods store,098661 34353,4.2,(15)
97,Seetharama Pooja store,"seetharama pooja store, at",Store,096761 76992,4.8,(12)
98,Daakshayani pooja store,Golden Temple Rd,General store,099899 25567,4.3,(16)
99,Sri Parameshwara pooja store,MIG-314,Home goods store,,5.0,(5)
100,Balaji Pooja Store,"CCVX+393, Balkampet",General store,063090 66370,3.9,(14)
101,Gowshik Pooja Samagri Store,"Narayanguda Cross road, beside Vegetable Market Road",General store,073374 23354,4.5,(4)
102,SRI SRINIVASA SAI POOJA SAMAGRI STORES,Gudimalkapur,General store,098857 01600,4.5,(11)
103,Anjana Coconut & Pooja Stores,"10-1-324, Dargah Rd",Religious goods store,096760 07365,4.3,(18)
104,R.K Pooja Stores,·,Grocery store,094400 33569,4.5,(26)
105,Sree Sai Datta Pooja Samagri,"9/1, 34/45/B",Market,073966 67416,4.3,(16)
106,Online poojan samagri Store,14-4-27,Religious goods store,,4.5,(13)
107,Kranti Pooja Store,"Shop No: 1-298, Beside Hanuman Temple, X Road",Store,099489 66163,5.0,(9)
108,Sharanam pooja store,"Shop No- 7, Mytri Vihar Apartments, lane, opposite TV studio",Religious goods store,098496 31412,4.4,(5)
109,Balaji poojan samagri,"Hanuman mandir, Bharathi complex, beside HDFC bank ATM",Religious goods store,096664 00367,4.9,(27)
110,Pooja stores,Plot no 125,General store,098490 72059,4.2,(68)
111,seshasai pooja stores,"8HJ9+HX7, Rhythu Bazar Rd",Religious goods store,098495 56295,4.3,(8)
112,SRIKARA POOJA STORES,"at Pillar no. 1534, Left lane, Shop no.1, near Sri Kanaka Durga Maatha Temple",Religious goods store,099668 86070,5.0,(2)
113,Sri Sai Pooja Samagri,"Bus Stop, 15-25-890/7/A/1 & 2",Religious goods store,,4.7,(3)
114,Om Sri Manikhanta Pooja Samaghri,"# 30, G.K. Nagar, Sainathpuram, A.S.",Religious goods store,099893 02693,3.5,(14)
115,Bhanu Pooja Stores,"12-4-67, S.V.N., Papayyapet Chaman",Home goods store,099489 61480,4.0,(18)
116,Sri Siddi Vinayaka Pooja Store,"871, Pragathi Nagar Rd",Home goods store,099591 90862,4.4,(12)
117,Sri Sai Pooja Samagri,"15-1-605,, 15-7-605,605/1",Religious goods store,063091 30785,2.9,(23)
118,Shree Swastik Pooja Samagri Store,"Shivnath Mangilal sweet house, 4-6-301, Esamia Bazar Rd",Religious goods store,079818 04459,5.0,(8)
119,SRI LAKSHMI VEDHA GANAPATHI POOJA STORE,"Mounika Towers, 1-81, Hitech City Rd",General store,,5.0,(4)
120,P. Sathyanarayana Kirana Pooja Samagri Store,"87, Sai Baba Temple Rd",Religious goods store,098496 59166,4.3,(7)
121,Lakshmi Ganapathi Pooja store,"Plot no 212,house ni 1-1-241 1st floor, ark complex, Hi-Tension Rd",Indian grocery store,099484 18324,4.5,(16)
