"Google maps link","Name","Avg_review","Reviews","Category","Address","Phone"
"https://www.google.com/maps/place/OM+SRI+LAKSHMI+NARASIMAHA+Pooja+Stores+WHOLE+SALE%26RETAIL/data=!4m7!3m6!1s0x3bcb90e1bb7200d1:0x2dbc6c8dd24efa7c!8m2!3d17.4543614!4d78.4345826!16s%2Fg%2F1tdzv514!19sChIJ0QByu-GQyzsRfPpO0o1svC0?authuser=0&hl=en&rclk=1","OM SRI LAKSHMI NARASIMAHA Pooja Stores WHOLE SALE&RETAIL","4.9","(211)","Religious goods store","1, Erragadda Main Rd, beside Gokul Theater Compound","093465 44555"
"https://www.google.com/maps/place/Sri+Vijaya+Pooja+Samagri/data=!4m7!3m6!1s0x3bcb911c07f6c065:0xf9013dd1dfbb463c!8m2!3d17.45417!4d78.423989!16s%2Fg%2F1pp2twyp1!19sChIJZcD2BxyRyzsRPEa739E9Afk?authuser=0&hl=en&rclk=1","Sri Vijaya Pooja Samagri","4.4","(27)","Religious goods store","·","040 4012 3778"
"https://www.google.com/maps/place/Sai+Pooja+Samagri/data=!4m7!3m6!1s0x3bcb98e842041179:0x800ca211232e1e68!8m2!3d17.371608!4d78.541751!16s%2Fg%2F1hhx5nq2y!19sChIJeREEQuiYyzsRaB4uIxGiDIA?authuser=0&hl=en&rclk=1","Sai Pooja Samagri","4.0","(144)","Religious goods store","·","063091 30785"
"https://www.google.com/maps/place/Divine+Sutra,+Pooja+samagri+store+Hyderabad/data=!4m7!3m6!1s0x3bcb9b22d01d99cf:0x729c450e0e037093!8m2!3d17.4864191!4d78.5363931!16s%2Fg%2F11fk1qf7rn!19sChIJz5kd0CKbyzsRk3ADDg5FnHI?authuser=0&hl=en&rclk=1","Divine Sutra, Pooja samagri store Hyderabad","4.8","(14)","Religious goods store","37-33","084700 10367"
"https://www.google.com/maps/place/Vedajanani+Pooja+Stores/data=!4m7!3m6!1s0x3bcb98cd9ad13305:0xac875396d719d180!8m2!3d17.3734015!4d78.5628682!16s%2Fg%2F11bydjxkq1!19sChIJBTPRms2YyzsRgNEZ15ZTh6w?authuser=0&hl=en&rclk=1","Vedajanani Pooja Stores","4.5","(300)","Store","·",""
"https://www.google.com/maps/place/Sai+Pooja+Stores/data=!4m7!3m6!1s0x3bcb9885333b8465:0x421569703c0d6fea!8m2!3d17.34718!4d78.531946!16s%2Fg%2F1q2vy85h1!19sChIJZYQ7M4WYyzsR6m8NPHBpFUI?authuser=0&hl=en&rclk=1","Sai Pooja Stores","4.4","(101)","Religious goods store","Shop No-3, Sai Balaji Homes, Beside HP Gas Agency, Near Indra Nagendra Theatre Karmanghat","093932 44204"
"https://www.google.com/maps/place/Dhatri+Pooja+Samagri+%28+Dhatri+stores%29/data=!4m7!3m6!1s0x3bcb93d372661fb9:0x87d279089a14a6b0!8m2!3d17.4601293!4d78.3544989!16s%2Fg%2F11rfd9g33q!19sChIJuR9mctOTyzsRsKYUmgh50oc?authuser=0&hl=en&rclk=1","Dhatri Pooja Samagri ( Dhatri stores)","4.3","(47)","Religious goods store","Botanical garden road, Main Rd, near medplus","073821 17798"
"https://www.google.com/maps/place/Sri+vaishnavi+pooja+stores/data=!4m7!3m6!1s0x3bcb8f40e822b779:0xa65e4089f0acaf4!8m2!3d17.5432988!4d78.4382901!16s%2Fg%2F11kmyhx794!19sChIJebci6ECPyzsR9MoKnwjkZQo?authuser=0&hl=en&rclk=1","Sri vaishnavi pooja stores","4.8","(8)","Religious goods store","H.no 5-311/1, plot no. 460 2nd om janda","099922 29526"
"https://www.google.com/maps/place/Sri+Gayatri+pooja+store+%26+Wholesale+Retail+distributors,+Hyderabad/data=!4m7!3m6!1s0x3bcb93f205e74daf:0x3db2ce2de1ee80d4!8m2!3d17.5060946!4d78.3095732!16s%2Fg%2F11j4cvlqv0!19sChIJr03nBfKTyzsR1IDu4S3Osj0?authuser=0&hl=en&rclk=1","Sri Gayatri pooja store & Wholesale Retail distributors, Hyderabad","5.0","(7)","Religious goods store","Hno 23-117, beside ganesh temple","094911 24192"
"https://www.google.com/maps/place/Panditji+Pooja+Store/data=!4m7!3m6!1s0x3bcb9725f5ab2493:0xe02ab1691480eb6!8m2!3d17.3765218!4d78.4663068!16s%2Fg%2F11r3hhttyp!19sChIJkySr9SWXyzsRtg5IkRarAg4?authuser=0&hl=en&rclk=1","Panditji Pooja Store","4.7","(66)","Religious goods store","H.no 14-4-239/5 Shah Inayath Gunj, Goshamahal","083281 34870"
