Name,Category,Address,Phone,Avg_review,Reviews,Maps_url
BEAUTY LADIES EMPORIUM,Health and beauty shop,Nampally,083748 62786,4,8,https://www.google.com/maps/place/BEAUTY+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3bcb9723dd528949:0x75b218882aebb6b0!8m2!3d17.3911967!4d78.4641005!16s%2Fg%2F11t3dw_mlc!19sChIJSYlS3SOXyzsRsLbrKogYsnU?authuser=0&hl=en&rclk=1
Sri Divya Ladies Emporium,Clothing Accessories Store,"2-56/33, 39/2, Ayyappa Society Main Rd",099087 22309,3.4,14,https://www.google.com/maps/place/Sri+Divya+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb915dbcbd39bb:0x7467deade00fb6e7!8m2!3d17.4444642!4d78.3920734!16s%2Fg%2F11c6_wq8br!19sChIJuzm9vF2RyzsR57YP4K3eZ3Q?authuser=0&hl=en&rclk=1
Stylish Ladies Emporium,Clothing Accessories Store,Plot no 10 shop no 11,094931 01122,,,https://www.google.com/maps/place/Stylish+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb99d8609f61f9:0xf9aab30e86f58543!8m2!3d17.3626598!4d78.5379113!16s%2Fg%2F11hzm1y3dw!19sChIJ-WGfYNiZyzsRQ4X1hg6zqvk?authuser=0&hl=en&rclk=1
Sri Laxmi Ladies Emporium,General store,03-12-1971,092902 05020,5,1,https://www.google.com/maps/place/Sri+Laxmi+Ladies+Emporium/data=!4m7!3m6!1s0x3a334583965d58e9:0xba4190bca02fbf1b!8m2!3d18.0093654!4d79.5689799!16s%2Fg%2F1q660y3x6!19sChIJ6VhdloNFMzoRG78voLyQQbo?authuser=0&hl=en&rclk=1
For Her - Ladies Emporium,Cosmetics store,Crown residency,,3.7,7,https://www.google.com/maps/place/For+Her+-+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb939f349eb871:0x56e8678d78c189e5!8m2!3d17.4713901!4d78.3322657!16s%2Fg%2F11p55tv6g6!19sChIJcbieNJ-TyzsR5YnBeI1n6FY?authuser=0&hl=en&rclk=1
Ladies Emporium,Shopping mall,"Rekurthi Sammaka, saralama road 1",080081 76621,4.7,3,https://www.google.com/maps/place/Ladies+Emporium/data=!4m7!3m6!1s0x3bccdf274a791c3f:0xb638debb3c45856f!8m2!3d18.4681236!4d79.1089376!16s%2Fg%2F11r_k6f84y!19sChIJPxx5SiffzDsRb4VFPLveOLY?authuser=0&hl=en&rclk=1
Sri Lakshmi manemma Ladies Emporium,Cosmetics store,"Hanuman Coconut Shop, Bus Stop, 9-1-39/A/A, opp. Hasmathpet",090146 24443,5,4,https://www.google.com/maps/place/Sri+Lakshmi+manemma+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb9b63099985e7:0xbbeceb84699ade69!8m2!3d17.4749063!4d78.4857407!16s%2Fg%2F11fj0tj664!19sChIJ54WZCWObyzsRad6aaYTr7Ls?authuser=0&hl=en&rclk=1
Meenakshi Ladies Emporium,Health and beauty shop,,090004 57766,3.9,42,https://www.google.com/maps/place/Meenakshi+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb91eafdd342b1:0x3bcef6a060adb117!8m2!3d17.495576!4d78.404239!16s%2Fg%2F1q5cccwyf!19sChIJsULT_eqRyzsRF7GtYKD2zjs?authuser=0&hl=en&rclk=1
Raja ladies emporium,Cosmetics store,FCP7+F88,099495 21208,5,8,https://www.google.com/maps/place/Raja+ladies+emporium/data=!4m7!3m6!1s0x3bcb9162131dc60d:0x74bfd94c03f16486!8m2!3d17.4861676!4d78.4133171!16s%2Fg%2F11qs8cz8zf!19sChIJDcYdE2KRyzsRhmTxA0zZv3Q?authuser=0&hl=en&rclk=1
Han`s Ladies Emporium,Lingerie store,"7-30, Road No 2, Madhura Puri Colony, Dilsukh Nagar, Dilsukh Nagar",093900 26067,5,2,https://www.google.com/maps/place/Han%60s+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb98ec9687f7e5:0x1edfaad1f9f8a2d5!8m2!3d17.3536594!4d78.5352722!16s%2Fg%2F1tfn15nv!19sChIJ5feHluyYyzsR1aL4-dGq3x4?authuser=0&hl=en&rclk=1
Chandra Ladies Emporium,Bangle Shop,"Shop No 839, Old Mig Rd",092473 07416,4.8,44,https://www.google.com/maps/place/Chandra+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb92c957e5580d:0x35a313c3232b8c93!8m2!3d17.4815371!4d78.2990193!16s%2Fg%2F1hdzrs10t!19sChIJDVjlV8mSyzsRk4wrI8MTozU?authuser=0&hl=en&rclk=1
GRACE LADIES EMPORIUM,Jeweler,near Gandhi Statue,093478 02884,5,1,https://www.google.com/maps/place/GRACE+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3bcb9105443a6c7b:0x300821dbc3440118!8m2!3d17.4554935!4d78.4027159!16s%2Fg%2F11gz94q3s3!19sChIJe2w6RAWRyzsRGAFEw9shCDA?authuser=0&hl=en&rclk=1
Krupa ladies emporium,Jewelry store,"opp: sai baba temple, Tukaram Gate Main Rd",096400 88886,5,6,https://www.google.com/maps/place/Krupa+ladies+emporium/data=!4m7!3m6!1s0x3bcb9b4261fd9933:0xd11dc7e5f6165c37!8m2!3d17.4421858!4d78.5215715!16s%2Fg%2F11gtzsd8jn!19sChIJM5n9YUKbyzsRN1wW9uXHHdE?authuser=0&hl=en&rclk=1
Ladies hosiery and Ladies emporium,Women's clothing store,,,4,3,https://www.google.com/maps/place/Ladies+hosiery+and+Ladies+emporium/data=!4m7!3m6!1s0x3bcb9de341090115:0x7e061f03919a4222!8m2!3d17.5139895!4d78.6313599!16s%2Fg%2F11sm8y1j7n!19sChIJFQEJQeOdyzsRIkKakQMfBn4?authuser=0&hl=en&rclk=1
